/* TID|System Type|Slot|Port|Name|ing_packets|ing_bytes|ing_rate(Kbps)|egr_packets|egr_bytes|egr_rate(Kbps)|Date */
2nd_PanKyo_ChangJo_Vally|APN200|S01|P1|(TN_1_PanKyo_ChangJo_Vally_TTA_PanKyo_ChangJo_Vally_16_1_P)-(T1-L2)|295475|31006995|275|0|0|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally|APN200|S04|P1|(TN_1_PanKyo_ChangJo_Vally_SKB_BunDang_Hypernet_18_2)-(T1-L1)|283565|29877669|265|11447|1374985|12|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally|APN200|S05|P1|(TN_1_PanKyo_ChangJo_Vally_SKB_BunDang_Hypernet_18_2_P)-(T1-L2)|272253|28394183|252|20|3|0|2019-09-28 11:15:00

2nd_SKB_BunDang_Hypernet|OPN3000|S04|P1|(TN_1_SKB_BunDang_Hypernet_SKB_BunDang_TTA_18_3_P)-(T1-L2)|292528|31013560|275|0|10|0|2019-09-28 11:15:00

2nd_SKB_BunDang_Hypernet|OPN3000|S04|P1|(TN_1_SKB_BunDang_Hypernet_SKB_BunDang_TTA_42_lan_P)-(T3-L2)|294412|31012380|275|0|11|0|2019-09-28 11:15:00

2nd_SKB_BunDang_Hypernet|OPN3000|S08|P1|(TN_1_PanKyo_ChangJo_Vally_SKB_BunDang_Hypernet_18_2_P)-(T1-L2)|265540|28312337|251|0|55|0|2019-09-28 11:15:00

2nd_SKB_BunDang_Hypernet|OPN3000|S07|P1|(TN_1_PanKyo_ChangJo_Vally_SKB_BunDang_Hypernet_18_2)-(T1-L1)|290010|29622235|263|12328|1498622|13|2019-09-28 11:15:00

2nd_SKB_BunDang_Hypernet|OPN3000|S03|P1|(TN_1_SKB_BunDang_Hypernet_SKB_BunDang_TTA_18_3)-(T1-L1)|344481|33503261|288|11450|1375459|12|2019-09-28 11:15:00

2nd_SKB_BunDang_Hypernet|OPN3000|S03|P1|(TN_1_SKB_BunDang_Hypernet_SKB_BunDang_TTA_42_lan)-(T3-L1)|232131|30922255|275|40|30|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_PanKyo_ChangJo_Vally_16_1)-(T1-L1)|289948|29226705|262|3352|470277|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_PanKyo_ChangJo_Vally_16_1_P)-(T1-L2)|269638|28308627|251|20|0|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_18)-(T2-L1)|294446|30998730|275|30|0|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_18_P)-(T2-L2)|293160|31005420|276|0|35|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_20)-(T3-L1)|295110|30997050|275|0|30|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_20_P)-(T3-L2)|295777|31007205|278|0|40|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_24_lan)-(T5-L1)|295977|30993585|274|0|20|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_24_lan_P)-(T5-L2)|295082|31007730|271|10|30|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_46)-(T18-L1)|295299|30995895|270|33|30|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_46_P)-(T18-L2)|295365|31006050|272|0|5|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P13|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_48)-(T19-L1)|295212|30997260|279|20|30|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P14|(TN_1_PanKyo_ChangJo_Vally_TTA_SKB_BunDang_TTA_48_P)-(T19-L2)|295372|31330680|278|0|30|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P13|(TN_SMSEO_TEST)-(T25-L1)|291181|30990445|276|20|20|0|2019-09-28 11:15:00

2nd_PanKyo_ChangJo_Vally_TTA|APN20A|SXC|P14|(TN_SMSEO_TEST_P)-(T25-L2)|295350|31003005|275|10|30|0|2019-09-28 11:15:00
